mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.14893635114034018,0.013161468564846318,0.028765360514322918,0.0003542090467918554,2,100,"{'clf__max_depth': 2, 'clf__n_estimators': 100}",0.7773109243697479,0.8143459915611815,0.8059071729957806,0.7991880296422367,0.015848432436103475,16
0.23819955190022787,0.0022229299048796385,0.0418554941813151,0.0018454458889909052,2,200,"{'clf__max_depth': 2, 'clf__n_estimators': 200}",0.7773109243697479,0.7890295358649789,0.8059071729957806,0.7907492110768358,0.011737527309053804,19
0.33221618334452313,0.013303312829651665,0.04993208249409994,0.00020360456535719796,2,300,"{'clf__max_depth': 2, 'clf__n_estimators': 300}",0.7773109243697479,0.810126582278481,0.8059071729957806,0.7977815598813365,0.014577060571550282,17
0.43303624788920086,0.010809494326955112,0.061439832051595054,0.0021374669102620083,2,400,"{'clf__max_depth': 2, 'clf__n_estimators': 400}",0.7773109243697479,0.7890295358649789,0.810126582278481,0.792155680837736,0.013578081302569215,18
0.564516544342041,0.036596680310535534,0.07232268651326497,0.0009930770885898683,2,500,"{'clf__max_depth': 2, 'clf__n_estimators': 500}",0.7773109243697479,0.7805907172995781,0.8059071729957806,0.7879362715550355,0.012777695002369596,20
0.13946843147277832,0.004479323431112799,0.028072834014892578,0.00010345626573461772,3,100,"{'clf__max_depth': 3, 'clf__n_estimators': 100}",0.7941176470588235,0.8185654008438819,0.8143459915611815,0.8090096798212957,0.010670218164675041,15
0.22894605000813803,0.0072769726382015615,0.03978284200032552,0.0011017742139590434,3,200,"{'clf__max_depth': 3, 'clf__n_estimators': 200}",0.8235294117647058,0.8185654008438819,0.8185654008438819,0.8202200711508233,0.0023400571893324815,11
0.32970436414082843,0.00933264447637765,0.049429893493652344,0.0003360664148861411,3,300,"{'clf__max_depth': 3, 'clf__n_estimators': 300}",0.8151260504201681,0.8185654008438819,0.8059071729957806,0.8131995414199436,0.005344234323678242,14
0.4269367853800456,0.002189477628025921,0.059969027837117515,0.0006943537794068907,3,400,"{'clf__max_depth': 3, 'clf__n_estimators': 400}",0.8067226890756303,0.8185654008438819,0.8185654008438819,0.8146178302544648,0.0055827078659789475,12
0.5374701817830404,0.00902248396779698,0.07591334978739421,0.0027832013542157343,3,500,"{'clf__max_depth': 3, 'clf__n_estimators': 500}",0.8109243697478992,0.8185654008438819,0.810126582278481,0.813205450956754,0.0038040253509479065,13
0.13424030939737955,0.002366138374222702,0.028941869735717773,0.0013551992229595866,4,100,"{'clf__max_depth': 4, 'clf__n_estimators': 100}",0.819327731092437,0.8312236286919831,0.8227848101265823,0.8244453899703341,0.004996414647046275,8
0.23302618662516275,0.007684375346864674,0.039650519688924156,0.0007835866711800876,4,200,"{'clf__max_depth': 4, 'clf__n_estimators': 200}",0.8235294117647058,0.8354430379746836,0.8185654008438819,0.8258459501944238,0.007082298191125252,7
0.356536070505778,0.015005299614516231,0.05843814214070638,0.008586135160533335,4,300,"{'clf__max_depth': 4, 'clf__n_estimators': 300}",0.819327731092437,0.8354430379746836,0.8227848101265823,0.8258518597312343,0.006927282965939481,3
0.44361074765523273,0.011363873729081691,0.0641014575958252,0.004559611667289853,4,400,"{'clf__max_depth': 4, 'clf__n_estimators': 400}",0.819327731092437,0.8312236286919831,0.8227848101265823,0.8244453899703341,0.004996414647046275,8
0.5633823871612549,0.023147578048125325,0.0719304879506429,0.0008363285676078891,4,500,"{'clf__max_depth': 4, 'clf__n_estimators': 500}",0.819327731092437,0.8312236286919831,0.8270042194092827,0.8258518597312343,0.004924364225996811,3
0.1295935312906901,0.003339430770612338,0.028194665908813477,0.00016439970977627437,5,100,"{'clf__max_depth': 5, 'clf__n_estimators': 100}",0.819327731092437,0.8185654008438819,0.8312236286919831,0.8230389202094339,0.005795824736261964,10
0.25361132621765137,0.017167211159061658,0.04217958450317383,0.0005392073586981885,5,200,"{'clf__max_depth': 5, 'clf__n_estimators': 200}",0.819327731092437,0.8312236286919831,0.8270042194092827,0.8258518597312343,0.004924364225996811,3
0.34220560391743976,0.005857711244893331,0.05274828275044759,0.0012292812203615034,5,300,"{'clf__max_depth': 5, 'clf__n_estimators': 300}",0.8235294117647058,0.8312236286919831,0.8270042194092827,0.827252419955324,0.0031460500276051153,2
0.4703069527943929,0.015332574793109439,0.06349603335062663,0.0008916671544784285,5,400,"{'clf__max_depth': 5, 'clf__n_estimators': 400}",0.819327731092437,0.8270042194092827,0.8312236286919831,0.8258518597312342,0.004924364225996811,6
0.6004040241241455,0.006122117541821181,0.07685891787211101,0.0006350116820862361,5,500,"{'clf__max_depth': 5, 'clf__n_estimators': 500}",0.819327731092437,0.8270042194092827,0.8354430379746836,0.8272583294921344,0.0065814997241207054,1
